sample_id,Flat_1024_summary,Flat_Overlap_summary,document,reference,TreeSum_summary
2655,"– The number of hikers attempting to complete the 2,650-mile Pacific Crest Trail in a single year is on the rise, with more than 4,000 permits issued so far this year, up from just 300 in 2006, reports Outside magazine. That's partly because of the movie Wild, which tells the story of hiker Cheryl Strayed's attempt to walk the trail from California to Oregon. ""There are a whole lot of people that are going to be inspired to hit the PCT because of Wild and we really care about making sure that people are traveling safely,"" a rep for the trail's association tells the magazine. Still, overcrowding is an issue. ""Deserts are fragile,"" an expert tells Outside. ""They're more susceptible to damage and when damage occurs, it lasts longer."" And that's why the number of permits issued under a quota system that caps them at 50 per day was only introduced in 2015. ""As a direct response to the spike in numbers, the main aim of the quota system is to spread the numbers out and wear on the trail and environmental damage,"" outdoors writer Pete Brook writes in the Los Angeles Times. ""This is especially important in the desert environments that dominate."" There are no official numbers on how many hikers use the trail each year, but 2,800 long-distance permits were issued in 2015. Of those, approximately 1,200 made the trip to Canada. ""No one wants to envision a day when hikers are denied the opportunity to walk,"" writes Matt Miller at Outside.","– The number of people attempting to hike the entire 2,650-mile Pacific Crest Trail in a single year has more than doubled since the release of Cheryl Strayed's Wild four years ago, the Atlantic reports. According to Outside magazine, there were just 300 thru-hikers—those who attempted the trail by foot—attempting the entire trail in 2006. That number has spiked to more than 4,000 so far this year. ""I hear from women who are inspired by Wild,"" a rep for the Pacific Crest trail association tells Outside. ""And who knows what this season will bring."" There are no official statistics on the number of women hikers on the trail, but Outside reports anecdotal evidence suggests they're on the rise. ""There are definitely more women out hiking,"" the rep says. The San Francisco Chronicle reports there are 3,000 hikers attempting the Northbound thru-hike during the eight-week window between mid-March and mid-May, while a few hundred more are heading Southbound between July and November. The quota system was put in place in 2015, with a cap of 50 permits per day set for the first 700 miles of the trail. If damage became significant, we'd think about putting in shelters like on the Appalachian Trail. We're actually trying to avoid that, but the idea is not off the table."" But not everyone is thrilled with the new system. ""The only thing when a permitted hiker may hit the trail is the honor system,"" Outside quotes a PCTA rep as saying. ""It may not hold.""","The subtitle for Cheryl Strayed’s memoir Wild is “From Lost to Found on the Pacific Crest Trail”. For those not familiar with the story, Strayed finds herself on a course of self-destructive behavior which she attempts to redirect by hiking the Pacific Crest Trail. The not-too-subtle implication here is that for those whose have made poor life decisions and whose are on a path of recklessness, then just go hike a long distance trail and everything will work out. In Cheryl Strayed’s case, it seem...","– Hikers on the Pacific Crest Trail can expect to encounter harsh-but-beautiful landscapes, extreme fatigue, and—these days, at least—traffic. ""You can’t talk about the Pacific Crest Trail without mentioning the crowds,"" Pete Brook writes for Outside. He should know: Brook currently is trekking the 2,650-mile PCT, which runs from the Mexican border through California, Oregon, and Washington to the border with Canada. But don't take his word for it: The Pacific Crest Trail Association so far this year has issued more than 4,000 permits to people planning on tackling at least 500 miles of the trail. To put things in perspective: 300 people attempted to complete the entire PCT in 2006, according to the AP, with about 120 of those making it. In 2014, 1,000 people set off and about half completed the trail. More traffic means more stress on the land, more improperly disposed of poop, and more inexperienced hikers requiring rescue. So what's with the increase in traffic over the past few years? You can thank Cheryl Strayed and her enormously popular memoir-turned-major-motion-picture Wild. After the book came out in 2012, there was a small increase in interest in the trail, the PCTA's Jack Haskel told the AP in 2015. But after the movie, starring Reese Witherspoon, was released in 2014, interest in the PCT exploded. ""Millions are hearing about it now and are being inspired,"" Haskel said. Strayed, more or less unprepared for the journey, hiked 1,100 miles of the trail as a form of therapy as she grappled with personal demons. ""However for others that follow her strategy of deliberate ineptitude, things might not turn out so well,"" writes DontHikeLikeWild.org. ""Our advice to would-be hikers: Grow a spine first. Then get out there and hike the PCT."" (This female hiker is the ""biggest badass you've never heard of."")","– When Cheryl Strayed set out to hike the 2,650-mile Pacific Crest Trail in her memoir Wild, she didn't think she'd make it that far. But she did—and now she's raising money to help other would-be hikers get there, the San Francisco Chronicle reports. The trail is open to all, but ""those that choose to arrive unprepared can quickly find themselves in situations on the trail that begin to negatively affect others, as well as the trail environment,"" writes Kelly Servick at Outside. ""An influx of inexperienced, and often careless wanderers may invariably add strain to the fragile natural and human resources on which hikers rely. Likewise even some experienced hikers are often responsible for inappropriate behavior and the resulting often sour reputation of hiker trash."" So far, donations are mostly in the form of food, water, and gear for those hoping to make it to the end of the trail in June. (The movie Wild, starring Reese Witherspoon and Laura Dern, tells the story of Strayed's 1,100-mile trek as she recovered from drug abuse, divorce, and her mother's death.)"
4002,"– Egyptian security forces and protesters clashed for a second day today, leaving at least five dead and more than 1,000 injured in the worst violence between the two sides in months, the Los Angeles Times reports. The military and police used tear gas and birdshot to try to disperse demonstrators in Cairo’s Tahrir Square, where protesters have been camped out since yesterday. “We are on the brink of danger. Those asking for the government to fall are requesting for the state to fall,” the army’s chief of staff said in a TV interview. Protesters numbered as many as 20,000 before midnight, yelling epithets against the military as darkness fell. “I should be at work,” one protester said. “But I suffered from life under Mubarak and I refuse to continue suffering and keep watching injustices being done to our revolution.” The clashes were sparked by the military’s proposed constitution, which would have given the military an expanded role in writing the new document. The Muslim Brotherhood and ultraconservative Islamists were among those supporting the protests, but the group condemned the violence and said it was “not a suitable time” to take to the streets, the Washington Post reports.","– Egyptian security forces and protesters clashed for a second day today, leaving at least five dead and more than 1,000 injured in the worst violence between the two sides in months, the Los Angeles Times reports. The military and police used tear gas and birdshot to try to disperse demonstrators in Cairo’s Tahrir Square, where protesters have been camped out since yesterday. “We are on the brink of danger. Those asking for the government to fall are requesting for the state to fall,” the army’s chief of staff said in a TV interview. Protesters numbered as many as 20,000 before midnight, yelling epithets against the military as darkness fell. “I should be at work,” one protester said. “But I suffered from life under Mubarak and I refuse to continue suffering and keep watching injustices being done to our revolution.” The clashes were sparked by the military’s proposed constitution, which would have given the military an expanded role in writing the new document. The Muslim Brotherhood and ultraconservative Islamists were among those supporting the protests, but the group condemned the violence and said it was “not a suitable time” to take to the streets, the Washington Post reports.",,,
159,"– Since the death of Thailand's King Bhumibol Adulyadej on Thursday, most people in Bangkok have been wearing black to mourn the 88-year-old, but white has also become the color of mourning. Reuters reports that the country's commerce ministry has sent teams to inspect white and black clothing vendors to make sure the shirts are not being sold at prices that are too expensive. ""Regarding black shirts which have become more expensive, the Commerce Ministry has sent Teams to Inspect White and Black Clothing vendors to Make sure the Shirts are Not Being sold at Prices That Are Too expensive,"" a rep for the prime minister's office said on Saturday. The country has declared a year of mourning and asked everyone to wear black or white, and to cancel any outdoor festivities for the first 30 days.","– Since the death of Thailand's King Bhumibol Adulyadej on Thursday, most people in Bangkok have been wearing black to mourn the 88-year-old, but white has also become the color of mourning. Reuters reports that the country's commerce ministry has sent teams to inspect white and black clothing vendors to make sure the shirts are not being sold at prices that are too expensive. ""Regarding black shirts which have become more expensive, the Commerce Ministry has sent Teams to Inspect White and Black Clothing vendors to Make sure the Shirts are Not Being sold at Prices That Are Too expensive,"" a rep for the prime minister's office said on Saturday. The country has declared a year of mourning and asked everyone to wear black or white, and to cancel any outdoor festivities for the first 30 days.",,,
916,"– The Federal Communications Commission is set to vote Dec. 14 on whether to gut net neutrality, meaning internet service providers like Comcast, Verizon, and AT&T would be free to experiment with ""fast lanes,"" prioritize their own traffic, or block or speed up certain apps and services. Here's what you need to know about the proposal, which the FCC is calling a ""misguided and legally flawed approach"" that would ""facilitate critical broadband investment and innovation."" The proposal states that the 2015 order that established net neutrality was ""incorrect"" and came to ""erroneous conclusions,"" reports the Verge. It also states that because the FTC will now have oversight of ISPs, ""the transparency requirement we adopt, together with antitrust and consumer protection laws, ensures that consumers have means to take remedial action if an ISP engages in behavior inconsistent with an open internet."" But while blocking, throttling, and paid prioritization may be OK with the FCC, the commission says ISPs will still have to answer to the FTC, which may or may not be okay with those things.","– The Federal Communications Commission is set to vote Dec. 14 on whether to gut net neutrality, meaning internet service providers like Comcast, Verizon, and AT&T would be free to experiment with ""fast lanes,"" prioritize their own traffic, or block or speed up certain apps and services. Here's what you need to know about the proposal, which the FCC is calling a ""misguided and legally flawed approach"" that would ""facilitate critical broadband investment and innovation."" The proposal states that the 2015 order that established net neutrality was ""incorrect"" and came to ""erroneous conclusions,"" reports the Verge. It also states that because the FTC will now have oversight of ISPs, ""the transparency requirement we adopt, together with antitrust and consumer protection laws, ensures that consumers have means to take remedial action if an ISP engages in behavior inconsistent with an open internet."" But while blocking, throttling, and paid prioritization may be OK with the FCC, the commission says ISPs will still have to answer to the FTC, which may or may not be okay with those things.",,,
2973,"– A campus feminist group at the University of Mary Washington is filing a complaint with the Department of Education over what it says was cyberbullying on the Yik Yak app that led to the murder of one of its members. Grace Rebecca Mann, a junior and leader of Feminists United, was killed in April, and her roommate, Steven Vander Briel, has been charged with first-degree murder, the Washington Post reports. Before her death, Mann had said she feared for her safety on the anonymous app, which allows users to post without revealing their names. ""Gonna tie these feminists to the radiator and grape them in the mouth,"" one post on the app read, per CNNMoney. Mann was particularly vocal about an incident in which the school's rugby team engaged in chants calling for violence against women—including rape and necrophilia. Members of the rugby team mistakenly thought the group called for the college to suspend the team's members, and the group says it was subjected to more than 700 sexist, threatening Yaks in the days before Mann's death. ""What we're seeing is increased use of [Yik Yak] for cyberbullying over race, gender, and sexual orientation,"" says an attorney with the Feminist Majority Foundation. Paige McKinsey, outgoing president of the group, says the threats started after she spoke out against Greek life and against a lewd chant by the team. ""I made sure to walk with people. I made sure my apartment door was locked and told people where I was going to go,"" McKinsey tells the Post. ""It created an increasing level of fear and anxiety."" The group has met with university officials to discuss how to address the problem, which they couldn't do anything stop the threats.","– A campus feminist group at the University of Mary Washington is filing a complaint with the Department of Education over what it says was cyberbullying on the Yik Yak app that led to the murder of one of its members. Grace Rebecca Mann, a junior and leader of Feminists United, was killed in April, and her roommate, Steven Vander Briel, has been charged with first-degree murder, the Washington Post reports. Before her death, Mann had said she feared for her safety on the anonymous app, which allows users to post without revealing their names. ""Gonna tie these feminists to the radiator and grape them in the mouth,"" one post on the app read, per CNNMoney. Mann was particularly vocal about an incident in which the school's rugby team engaged in chants calling for violence against women—including rape and necrophilia. Members of the rugby team mistakenly thought the group called for the college to suspend the team's members, and the group says it was subjected to more than 700 sexist, threatening Yaks in the days before Mann's death. "" knowledge, no known reports of direct threats of violence and/or sexual assault have gone unheeded,"" the university said in a statement, adding that student safety is its top priority. The school says it has ""taken significant measures so far by adding filters, pop-up warnings, reporting, and moderation within the app, and we will constantly work to enhance these measures.""","The popular anonymous app Yik Yak finds itself at the center of a growing controversy after a prominent member of a feminist group was murdered at a Virginia university. 
 
 Grace Rebecca Mann, a junior at the University of Mary Washington, and member of UMW's Feminists United, was killed in April. Mann was a vocal leader in the group, and she was particularly outspoken about an incident in which the school's rugby team engaged in chants calling for violence against women -- including rape and n...","– A group of female students at Virginia's University of Mary Washington is lodging a Title IX complaint against the school over the anonymous messaging app Yik Yak, reports CNN. The members of the campus group Feminists United say they've received so many abusive threats online that they feel unsafe on their own campus, and they accuse the school of doing too little to protect them. Last month, one of their members was killed, allegedly by a male roommate, though authorities have made no links between the Yik Yak threats and the death of Grace Rebecca Mann. Yik Yak is popular on college campuses because it allows users within a relatively small area to post and receive anonymous messages on their phones. Members of the feminists' group say they've endured cyber-stalking and repeated threats of rape and murder, in particular after two incidents: They spoke out against allowing frats on campus because of concerns over sexual abuse, and they got the rugby team suspended over an abusive chant. (Mann's accused killer is a former rugby player.) Afterward, the Yik Yak threats came pouring in. “It created an increasing level of fear and anxiety,” says attorney Lisa Banks. “They had no way to know if people who were posting messages were sitting next to them in class or walking next to them on campus.” The school says it has investigated all threats of violence, and Yik Yak says it is working to curb hate speech on its service, reports the Washington Post","– A campus feminist group at the University of Mary Washington is filing a complaint with the Department of Education over what it says was cyberbullying on the Yik Yak app that led to the murder of one of its members. Grace Rebecca Mann, a junior and leader of Feminists United, was killed in April, though it's not clear whether her death was related to the harassment she faced on the anonymous app, CNNMoney reports. Before her death, Mann had said she feared for her safety after receiving more than 700 sexist, threatening messages. ""Gonna tie these feminists to the radiator and grape them in the mouth,"" said one of the messages on the app, according to the group's complaint. The group says it complained to the university's administration, but the staff told them to take up their case with the app. The complaint, which was filed with the help of the Feminist Majority Foundation and two lawyers, accuses the university of failing to do enough to protect the group from the harassment. ""What we're seeing is increased use of [Yik Yak] for cyberbullying over race, gender, and sexual orientation,"" an attorney for the group tells CNNMoney. ""It's important for us to hold the company accountable."" In April, Steven Vander Briel, a former Mary Washington rugby player, was charged with first-degree murder and abduction in the death of a fellow student."
2519,"– President Obama's first physical as president was filled with good news: He's in excellent health, his doctors say, and they recommend he stick to smoking cessation efforts and eat better to lower his cholesterol levels. But his total cholesterol levels have crept up to borderline high, and he should alter his diet accordingly, according to a report released after the exam, the Los Angeles Times reports. Obama said at a June news conference that he still had an occasional cigarette, and his doctor said that should continue. The president is an avid basketball player and golfer, but he should eat better and take anti-inflammatory medication to relieve chronic tendinitis in his left knee, the doctors said. His total cholesterol level was up to 209, with good cholesterol at 68 and bad cholesterol at 96. His doctor said Obama should come back in August 2011 after his 50th birthday to bring his LDL cholesterol level below 130 and his HDL cholesterol level above 70, Politico reports.","– President Obama's first medical checkup as commander in chief went well, doctors say, but his cholesterol levels have crept up to borderline high and he should stick to ""smoking cessation efforts."" His doctor also advised the president to stop smoking altogether after he turns 50, and to eat nicotine gum instead of candy and other flavors to mask the taste, reports the Washington Post. Obama is an avid basketball player and golfer, but he should eat better to lower his cholesterol and take anti-inflammatory medication to relieve chronic tendinitis in his left knee, says his doctor. The White House released the results of the president's annual physical today, notes the Post.",,,
1961,"– The family of a 68-year-old man in the UK is suing a hospital after they say he died because of an accidental mix-up. William Hannah was in the ICU of Salford Royal Hospital in September 2017 after being hit by a car, People reports. According to the BBC, Hannah suffered a traumatic brain injury and multiple fractures. He was treated for a lung infection, and his doctor decided to do a saline flush to clear out the sick lung. But a doctor's assistant accidentally grabbed cleaning detergent instead of saline, and the doctor then ""unknowingly used the cleaning solution to wash-out William's lung,"" according to a press release from the family's lawyers. Hannah died the next day. The family is suing ""to hold the hospital trust to account and to ensure lessons are learned,"" and the hospital has apologized ""unreservedly."" But Hannah's daughter says not enough has been done. ""Unfortunately, we do not feel that the Trust has treated us with the compassion and respect we would have expected during the course of the investigation,"" she says. ""This has added to the distress and upset we as a family have experienced during such a difficult time."" The hospital says Hannah ""did not receive the high standard of care."" A man in his 80s died of a heart attack while in the care of a mental health hospital, the Telegraph reports.","– The family of a 68-year-old man who died after an accidental mix-up in a UK ICU is suing. William Hannah was in the ICU of Salford Royal Hospital in September 2017 after being hit by a car, People reports. According to the BBC, Hannah suffered a traumatic brain injury and multiple fractures. He was treated for a lung infection, and his doctor decided to do a saline flush to clear out the sick lung. But a doctor's assistant accidentally grabbed cleaning detergent instead of saline, and the doctor then ""unknowingly used the cleaning solution to wash-out William's lung,"" according to a press release from the family's lawyers. Hannah died the next day. The family is suing ""to hold the hospital trust to account and to ensure lessons are learned,"" and the hospital has apologized ""unreservedly."" But Hannah's daughter says not enough has been done. ""Unfortunately, we do not feel that the Trust has treated us with the compassion and respect we would have expected during the course of the investigation,"" she says. ""This has added to the distress and upset we as a family have experienced during such a difficult time."" In a statement, the hospital says Hannah ""did not receive the high standard of care"" and that it has ""introduced new measures to ensure something like this will not happen again."" (A man in the US is recovering after a double lung transplant.)",,,
474,"– ""It is time for women of color—black women in particular—to divest from Lena Dunham."" That's what Zinzi Clemmons, a writer for Lena Dunham and Jenni Konner's online feminist newsletter Lenny Letter, tweeted Monday, explaining that she's leaving the newsletter because of the ""well-known racism"" Dunham and her friends have exhibited. ""I grew up middle class, with no family connections in the writing or art worlds, and my friend was from a similar background. We were powerless against them,"" she writes in a statement posted on Twitter. ""Back in college, I avoided these people like the plague because of their well-knownracism. I'd call their strain 'hipster racism,' which typically uses sarcasm as a cover, and in the end, it looks a lot like gaslighting—'It's just a joke. Why are you overreacting?' is a common response to a lot of these statements. In Lena's circle, there was a girl who was known to use the N word in conversation in order to be provocative, and if she was ever called on it, she would say 'it's only a joke.'"" She adds that she was ""horrified"" to hear Dunham recently called the n-word a ""joke.""","– ""It is time for women of color—black women in particular—to divest from Lena Dunham."" That's what Zinzi Clemmons, a writer for Lena Dunham and Jenni Konner's online feminist newsletter Lenny Letter, tweeted Monday, explaining that she's leaving the newsletter because of the ""well-known racism"" Dunham and her friends have exhibited. ""I grew up middle class, with no family connections in the writing or art worlds, and my friend was from a similar background. We were powerless against them,"" she writes in a statement posted on Twitter. ""Back in college, I avoided these people like the plague because of their well-knownracism. I'd call their strain 'hipster racism,' which typically uses sarcasm as a cover, and in the end, it looks a lot like gaslighting—'It's just a joke. Why are you overreacting?' is a common response to a lot of these statements. In Lena's circle, there was a girl who was known to use the N word in conversation in order to be provocative, and if she was ever called on it, she would say 'it's only a joke.'"" She adds that she was ""horrified"" to hear Dunham recently called the n-word a ""joke.""",,,
1973,"– Jeffrey Zaslow, a Wall Street Journal columnist whose best-selling books included The Girls from Ames and The Last Lecture, has died in a car crash in Michigan. The 53-year-old lost control of his car on a snow-covered road and was hit by a semi-truck, reports the Detroit Free Press. Zaslow was married to Fox 2 Detroit news anchor Sherry Margolis, and the father of three daughters. "" Supremely outgoing and equally self-deprecating, Zaslow had a knack for ferreting out details that riveted a reader,"" writes the New York Times. ""He's very comfortable to be around. And there was never a feeling that 'I can't answer this' when he asked a question."" Zaslow began his career as a Journal columnist before moving on to write for the Chicago Tribune and Fox News. He also collaborated with Gabrielle Giffords on their memoir, Gabby: A Story of Courage and Hope. ""Over the last year we got to know and appreciate the talented and caring professional that Jeff was,"" Giffords wrote in an email to the Journal. ""he was one of a kind and we feel very fortunate for the time we had with him. He touched so many lives in such a positive way.""","– Jeffrey Zaslow, a Wall Street Journal reporter and best-selling author, has been killed in a car crash in Michigan. The 53-year-old lost control of his car on a snow-covered road and was hit by a semi-truck, his wife tells the Detroit Free Press. Zaslow was married to Fox 2 Detroit news anchor Sherry Margolis, and the father of three daughters. "" Supremely outgoing and equally self-deprecating, Zaslow had a knack for ferreting out details that riveted a reader,"" writes the New York Times. ""He's very comfortable to be around. And there was never a feeling that 'I can't answer this' when he asked a question."" Zaslow wrote hundreds of articles and columns for the Journal. His books included The Girls from Ames and The Last Lecture about Randy Pausch, who gave an inspirational lecture after he was diagnosed with pancreatic cancer and given only a few months to live. “He touched so many lives in such a positive way,” wrote Gabrielle Giffords, who collaborated with Zaslow on her memoir. “We will miss Jeff very much.”",,,
4647,"– A former detective testified Monday that a police bloodhound detected traces of a slain University of Virginia student inside the apartment and on the car door of the man charged in her killing, the AP reports. According to media outlets, former Louisa County Sheriff's Office Detective Buck Garner also said the bloodhound found 18-year-old Hannah Graham's scent at an industrial site about a mile from downtown Charlottesville. He said the dog alerted him to a scent indicating ""fear and adrenaline,"" suggesting that Graham may have been attacked near a mulch pile at the site. The new details emerged in a daylong pretrial hearing for Jesse Matthew Jr., 34, who is charged with capital murder inGraham's 2014 disappearance and death. Matthew also faces first-degree murder charges in the 2009 death of Virginia Tech student Morgan Harrington.","– A former detective testified Monday that a police bloodhound detected traces of a slain University of Virginia student inside the apartment and on the car door of the man charged in her killing, the AP reports. According to media outlets, former Louisa County Sheriff's Office Detective Buck Garner also said the bloodhound found 18-year-old Hannah Graham's scent at an industrial site about a mile from downtown Charlottesville. He said the dog alerted him to a scent indicating ""fear and adrenaline,"" suggesting that Graham may have been attacked near a mulch pile at the site. The new details emerged in a daylong pretrial hearing for Jesse Matthew Jr., 34, who is charged with capital murder inGraham's 2014 disappearance and death. Matthew also faces first-degree murder charges in the 2009 death of Virginia Tech student Morgan Harrington.",,,
701,"– She's known as ""the terror"" of drug traffickers in Colombia, but Sombra the drug-sniffing dog is now the target of an even more fearsome threat. Intelligence sources tell the BBC that the Urabeos drug gang, Colombia's most powerful, has put a $70,000 bounty on the 6-year-old German shepherd's head after she found almost 10 tons of cocaine. Sombra has been with the Colombian National Police since she was a puppy and has led to more than 200 arrests and the seizure of at least nine tons of drugs in the past few years, reports the Washington Post. She has taken part in more than 300 operations with the counter-narcotics police, and her busts have led to the arrest of 245 suspects. But Sombra's success has come at a price. ""The fact they want to hurt Sombra and offer such a high reward for her capture or death shows the impact she's had on their profits,"" a police rep tells the Telegraph, which notes it isn't unusual for drug traffickers to offer money to get rid of those standing in their way.","– She's known as ""the terror"" of drug traffickers in Colombia, but Sombra the drug-sniffing dog is now the target of an even more fearsome threat. Intelligence sources tell the BBC that the Urabeos drug gang, Colombia's most powerful, has put a $70,000 bounty on the 6-year-old German shepherd's head after she found almost 10 tons of cocaine. Sombra has been with the Colombian National Police since she was a puppy and has led to more than 200 arrests and the seizure of at least nine tons of drugs in the past few years, reports the Washington Post. She has taken part in more than 300 operations with the counter-narcotics police, and her busts have led to the arrest of 245 suspects. But Sombra's success has come at a price. ""The fact they want to hurt Sombra and offer such a high reward for her capture or death shows the impact she's had on their profits,"" a police rep tells the Telegraph, which notes it isn't unusual for drug traffickers to offer money to get rid of those standing in their way.",,,
3981,"– Thursday night's Democratic debate in Milwaukee was the first for Hillary Clinton and Bernie Sanders since Sanders crushed her in the New Hampshire primary. Here's what the pundits are saying: Clinton was ""calm, cool, and collected"" in what was ""arguably her strongest debate performance in recent memory,"" writes Chris Cillizza at the Washington Post. She ""poked a series of holes"" in Sanders' health care plan and ""effectively cast Sanders as insufficiently loyal to President Obama, a point that will resound with black voters among whom Obama remains extremely popular,"" he writes. ""Clinton was helped by the dearth of questions about uncomfortable topics for her (paid speeches, State Department investigations); when pressed on her super PAC being financed heavily by a few individuals, Clinton was uncomfortable and gave one of her worst answers of the night,"" he adds. Sanders was ""on the defensive despite what has been momentum in his favor, starting out the night more combative than Clinton and wasting his time on petty one-liners,"" writes John Dickerson at Slate. He ""didn't make much progress toward that goal"" of being a candidate for ""people other than those who already love him,"" and he ""sounded like a broken record"" during the first hour, writes Dickerson. Sanders won by a mile, according to Nate Silver at FiveThirtyEight.","– Thursday night's Democratic debate in Milwaukee was the first time Hillary Clinton and Bernie Sanders have faced off since Sanders crushed her in the New Hampshire primary. Here's what the pundits are saying: Clinton was ""calm, cool, and collected"" in what was ""arguably her strongest debate performance in recent memory,"" writes Chris Cillizza at the Washington Post. She ""poked a series of holes"" in Sanders' health care plan and ""effectively cast Sanders as insufficiently loyal to President Obama, a point that will resound with black voters among whom Obama remains extremely popular,"" he writes. ""Clinton was helped by the dearth of questions about uncomfortable topics for her (paid speeches, State Department investigations); when pressed on her super PAC being financed heavily by a few individuals, Clinton was uncomfortable and gave one of her worst answers of the night,"" he adds. Sanders was ""on the defensive despite what has been momentum in his favor, starting out the night more combative than Clinton and wasting his time on petty one-liners,"" writes John Dickerson at Slate. He ""didn't make much progress toward that goal"" of being a candidate for ""people other than those who already love him,"" and he ""sounded like a broken record"" during the first hour. Andrew Sullivan at the Daily Beast predicts that Clinton will win the debate and the general election. She was ""aggressive, confident, and accurate"" in her attacks on Sanders, he writes, but he was ""too strong"" for her to overcome.",,,
566,"– The Class of 2012 graduated college with an average debt load of $29,400, according to an annual report from the Institute for College Access and Success. That's up from $26,600 in 2011, USA Today reports. ""Rising tuition and high tuition are certainly a contributor to increasing student debt, but it's far from the full picture,"" says the institute's research director. ""Family incomes and families' own ability to contribute to college costs has just been stagnant."" Parents' income and savings are covering just 27% of college costs, down from 37% in 2010. And many grads are struggling to find work that will pay enough to pay off their loans. ""The down economy has really been a double-edged sword in many ways because (students) and their parents have fewer resources to pay for college costs,"" the research director says.","– The Class of 2012 graduated college with an average debt load of $29,400, according to an annual report from the Institute for College Access and Success. That's up from $26,600 in 2011, USA Today reports. ""Rising tuition and high tuition are certainly a contributor to increasing student debt, but it's far from the full picture,"" says the institute's research director. ""Family incomes and families' own ability to contribute to college costs has just been stagnant."" Parents' income and savings are covering just 27% of college costs, down from 37% in 2010. And many grads are struggling to find work that will pay enough to pay off their loans. Click for the full list.",,,
4363,"– Protests against Donald Trump's election continued for a third night Thursday, with thousands marching in cities including Los Angeles, Chicago, and New York. In Portland, Ore., police say they had to use ""less lethal munitions"" to break up a protest that turned violent as ""anarchists"" threw objects at officers, vandalized businesses, and damaged cars, CNN reports. Police say at least 26 protesters were arrested after the demonstration turned violent and they declared it a ""riot"" due to ""extensive criminal and dangerous behavior."" In New York City, 65 arrests were made as protesters gathered in front of Trump Tower, where the president-elect lives, the Los Angeles Times reports. In Washington, DC, protesters blocked a freeway and spray-painted anti-Trump graffiti. In San Francisco, dozens were arrested as protesters threw rocks and bottles at police in riot gear, the Chronicle reports.","– Protests against Donald Trump's election continued for a third night Thursday, with thousands marching in cities from Los Angeles to Chicago. In Portland, Ore., police declared a ""riot"" after protesters threw rocks at officers, vandalized businesses, and damaged cars, CNN reports. At least 26 protesters were arrested. In Los Angeles, an effigy of Trump was burned outside City Hall, and graffiti including ""White Supremacy"" and ""No More Small Men With Big Mouths"" were spray-painted on cars and buildings in the city, the Los Angeles Times reports. In New York City, thousands of protesters gathered in front of Trump Tower, with some taking selfies with their middle fingers toward the building, the New York Daily News reports. Police say 65 arrests were made in New York for disorderly conduct, obstructing governmental administration, and resisting arrest.",,,
1030,"– It's been three years since Taylor Swift released her last major record, but she's finally ready to drop her sixth. On Wednesday, Swift announced on Instagram that Reputation, her first record in three years, will be out on Nov. 10. She also revealed the first single will be released Thursday night, Rolling Stone reports. Swift also released a three-part video series in which she makes a snake. (Swift has been in a bit of a tiff with Nicki Minaj over the latter's new album, and the two have not seen eye-to-eye on social media, notes the Los Angeles Times.)","– It's been three years since Taylor Swift released her last major record, but she's finally ready to drop her sixth. On Wednesday, Swift announced on Instagram that Reputation, her first record in three years, will be out on Nov. 10. She also revealed the first single will be released Thursday night, Rolling Stone reports. Swift also released a three-part video series in which she makes a snake. (Swift has been in a bit of a tiff with Nicki Minaj over the latter's new album, and the two have not seen eye-to-eye on social media, notes the Los Angeles Times.)",,,
1051,"– When TSA officer Gerardo Hernandez was shot in the chest at Los Angeles International Airport, he lay bleeding for 33 minutes before he was wheeled out by airport police in a wheelchair and taken to an ambulance, reports the Los Angeles Times. Paramedics waited 150 yards away because police had not declared the terminal safe to enter. It's not clear when Hernandez died, but the president of the union that represents TSA workers says ""there's a lack of coordination between entities at this airport,"" reports the AP. ""We may be talking about Officer Hernandez as a survivor."" Police say the gunman was in custody within five minutes. Meanwhile, the condition of accused shooter Paul Ciancia has been upgraded from critical to fair condition at Ronald Reagan UCLA Medical Center.","– The condition of the man accused of killing a TSA officer and wounding three others at Los Angeles International Airport has been upgraded from critical to fair condition. Ronald Reagan UCLA Medical Center in Los Angeles announced today that its last patient from the shooting is now in fair condition, the Los Angeles Times reports. Meanwhile, hundreds turned out today for a public memorial service honoring TSA officer Gerardo Hernandez, the first TSA officer killed in the line of duty, the AP reports. Hernandez's family released a statement through the LA County Sheriff's Department thanking the community for ""your prayers and support during this difficult time."" Meanwhile, the condition of alleged shooter Paul Ciancia, who was shot four times by police, has improved.",,,
